ibge_code;municipality;use_purpose;source_type;n_permits;n_abstraction;n_impoundment;n_quantified;total_flow;total_volume
3522208;ITAPECERICA DA SERRA;Mineração - Outros Processos Extrativos;surface;2;2;0;2;5,800000;41760,00
3522208;ITAPECERICA DA SERRA;Outras;groundwater;11;11;0;8;29,700000;145800,00
3522208;ITAPECERICA DA SERRA;Outras;surface;3;3;0;3;31,000000;112420,00
3522208;ITAPECERICA DA SERRA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;30;0;30;0;0,000000;0,00
3522208;ITAPECERICA DA SERRA;Serviços;surface;2;2;0;2;5,800000;41760,00
3522505;ITAPEVI;Abastecimento Público;surface;5;5;0;4;167,600000;1461172,80
3522505;ITAPEVI;Consumo Humano;groundwater;9;9;0;9;202,990000;1302384,00
3522505;ITAPEVI;Consumo Humano;surface;6;6;0;6;55,800000;450132,80
3522505;ITAPEVI;Indústria;groundwater;26;26;0;22;135,550000;891888,00
3522505;ITAPEVI;Indústria;surface;3;3;0;3;147,500000;469400,00
3522505;ITAPEVI;Irrigação;groundwater;2;2;0;2;97,000000;558720,00
3522505;ITAPEVI;Irrigação;surface;2;2;0;2;6,000000;4320,00
3522505;ITAPEVI;Obras Hidráulicas;surface;1;0;1;0;0,000000;0,00
3522505;ITAPEVI;Outras;groundwater;20;20;0;14;70,200000;432360,00
3522505;ITAPEVI;Outras;surface;4;4;0;4;37,800000;273012,00
3522505;ITAPEVI;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;33;0;33;0;0,000000;0,00
3523107;ITAQUAQUECETUBA;Consumo Humano;groundwater;4;4;0;4;397,600000;2516976,00
3523107;ITAQUAQUECETUBA;Indústria;groundwater;20;20;0;15;132,670000;487560,00
3523107;ITAQUAQUECETUBA;Indústria;surface;19;19;0;18;477,600000;3396158,00
3523107;ITAQUAQUECETUBA;Mineração - Outros Processos Extrativos;surface;1;1;0;1;120,000000;171840,00
3523107;ITAQUAQUECETUBA;Outras;groundwater;12;12;0;12;126,440000;741888,00
3523107;ITAQUAQUECETUBA;Outras;surface;2;0;2;0;0,000000;0,00
3523107;ITAQUAQUECETUBA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;15;0;15;0;0,000000;0,00
3525003;JANDIRA;Abastecimento Público;surface;1;1;0;1;7,000000;51100,00
3525003;JANDIRA;Consumo Humano;groundwater;3;3;0;3;18,500000;127944,00
3525003;JANDIRA;Consumo Humano;surface;1;1;0;1;7,000000;50960,00
3525003;JANDIRA;Indústria;groundwater;6;6;0;5;20,550000;86520,00
3525003;JANDIRA;Outras;groundwater;1;1;0;1;3,500000;11340,00
3525003;JANDIRA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;13;0;13;0;0,000000;0,00
3526209;JUQUITIBA;Abastecimento Público;groundwater;3;3;0;2;50,000000;360000,00
3526209;JUQUITIBA;Abastecimento Público;surface;3;3;0;2;164,000000;1426368,00
3526209;JUQUITIBA;Aquicultura em Tanque Escavado;surface;14;14;0;2;4,040000;25315,60
3526209;JUQUITIBA;Consumo Humano;surface;7;7;0;7;26,240000;98564,64
3526209;JUQUITIBA;Criação Animal;surface;1;1;0;0;0,000000;0,00
3526209;JUQUITIBA;Indústria;surface;12;12;0;0;0,000000;0,00
3526209;JUQUITIBA;Irrigação;surface;9;4;5;2;32,020000;218574,72
3526209;JUQUITIBA;Outras;groundwater;4;4;0;4;8,400000;25272,00
3526209;JUQUITIBA;Outras;surface;47;47;0;29;479,700000;1103460,80
3526209;JUQUITIBA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;52;0;52;0;0,000000;0,00
3528502;MAIRIPORÃ;Abastecimento Público;groundwater;4;4;0;4;44,100000;307440,00
3528502;MAIRIPORÃ;Abastecimento Público;surface;6;6;0;5;1889,070000;16259293,20
3528502;MAIRIPORÃ;Consumo Humano;groundwater;2;2;0;2;11,500000;82800,00
3528502;MAIRIPORÃ;Indústria;groundwater;6;6;0;4;23,000000;81780,00
3528502;MAIRIPORÃ;Indústria;surface;1;1;0;1;6,900000;52164,00
3528502;MAIRIPORÃ;Irrigação;surface;3;3;0;2;7,200000;0,00
3528502;MAIRIPORÃ;Outras;groundwater;42;42;0;30;198,500000;957420,00
3528502;MAIRIPORÃ;Outras;surface;14;13;1;12;42,000000;124520,00
3528502;MAIRIPORÃ;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;34;0;34;0;0,000000;0,00
3528502;MAIRIPORÃ;Serviços;surface;1;1;0;1;6,900000;43470,00
3529401;MAUÁ;Consumo Humano;groundwater;4;4;0;4;9,800000;63792,00
3529401;MAUÁ;Consumo Humano;surface;2;2;0;2;10,260000;75271,36
3529401;MAUÁ;Indústria;groundwater;16;16;0;9;105,650000;589291,20
3529401;MAUÁ;Indústria;surface;6;6;0;6;1544,280000;9085767,36
3529401;MAUÁ;Irrigação;surface;5;2;3;2;8,000000;3840,00
3529401;MAUÁ;Outras;groundwater;20;20;0;14;165,330000;683730,00
3529401;MAUÁ;Outras;surface;1;1;0;1;4,000000;3168,00
3529401;MAUÁ;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;38;0;38;0;0,000000;0,00
3530607;MOGI DAS CRUZES;Abastecimento Público;groundwater;6;6;0;5;114,800000;784800,00
3530607;MOGI DAS CRUZES;Abastecimento Público;surface;6;6;0;5;112996,000000;976766160,00
3530607;MOGI DAS CRUZES;Aquicultura em Tanque Escavado;surface;4;4;0;4;144,590000;1249257,60
3530607;MOGI DAS CRUZES;Consumo Humano;groundwater;2;2;0;2;25,000000;82800,00
3530607;MOGI DAS CRUZES;Consumo Humano;surface;8;8;0;8;28,780000;194025,05
3530607;MOGI DAS CRUZES;Criação Animal;groundwater;1;1;0;1;4,000000;14400,00
3530607;MOGI DAS CRUZES;Criação Animal;surface;1;1;0;1;15,000000;16200,00
3530607;MOGI DAS CRUZES;Esgotamento Sanitário;surface;2;2;0;2;69840,000000;611798400,00
3530607;MOGI DAS CRUZES;Indústria;groundwater;52;52;0;43;3636,120000;20527236,00
3530607;MOGI DAS CRUZES;Indústria;surface;27;27;0;27;2963,760000;20189782,36
3530607;MOGI DAS CRUZES;Irrigação;groundwater;12;12;0;11;148,100000;693271,20
3530607;MOGI DAS CRUZES;Irrigação;surface;176;167;9;159;11281,550000;16766646,25
3530607;MOGI DAS CRUZES;Mineração - Extração de Areia/Cascalho em Leito de Rio;groundwater;4;4;0;4;485,500000;1917528,00
3530607;MOGI DAS CRUZES;Mineração - Extração de Areia/Cascalho em Leito de Rio;surface;34;33;1;26;4809,930000;27982163,52
3530607;MOGI DAS CRUZES;Mineração - Outros Processos Extrativos;groundwater;2;2;0;2;15,000000;28800,00
