"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"wef_nexus_watershed_alto_tiete.nlogox"
"base_convertion_calibration"
"09/11/2026 09:50:18:886 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","climate-scenario","governance-mode","efficiency-gain","hectares-per-farmer","solar-start-year","solar-innovation-coef","solar-imitation-coef","max-solar-adoption","no-pump-irrigation-frac","solar-pump-irrigation-frac","stress-threshold","restriction-strength","urban-pressure-coef","water-stress-exit-coef","warming-ssp245","warming-ssp585","et-sensitivity","climate-onset-year","initial-utilisation","native-release?","native-to-farming-share","base-conversion-rate","[step]","mean [water-stress] of municipalities","mean [water-stress-realised] of municipalities","sum [irrigation-demanded] of farmers","sum [irrigation-applied] of farmers","basin-abstraction-realised","count municipalities with [restriction-level > 0]","mean [restriction-level] of municipalities","count farmers with [has-solar-pump?]","100 * (sum [area-urban] of municipalities) / (sum [total-area] of municipalities)","100 * (sum [area-farming] of municipalities) / (sum [total-area] of municipalities)","count farmers","current-year","basin-wef-index","basin-water-index","basin-energy-index","basin-food-index"
"3","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","3","0.5089546439627308","0.5089546439627308","14023.940353359738","14023.940353359738","14027.39343430453","0","0","0","20.55308195852879","26.254349314521974","1896","1988","0.6476467849488793","0.29529356989775707","0","1.0000000000000016"
"12","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","3","0.5027153701845346","0.5027153701845346","13917.951550627733","13917.951550627733","13977.31833673917","0","0","0","20.654524472248074","26.15290680080268","1887","1988","0.651966282179939","0.3039325643598751","0","1.0000000000000029"
"11","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","3","0.5072978604194378","0.5072978604194378","13947.986895055183","13947.986895055183","14054.564686438664","0","0","0","20.55305029053127","26.254380982519482","1899","1988","0.6487937889403897","0.29758757788077833","0","1.000000000000001"
"8","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.008","7","0.4768223266048897","0.4768223266048897","13394.929646099754","13394.929646099754","13441.678178750051","0","0","0","22.273191642135618","24.8603471496785","1795","1992","0.6698922354273841","0.339784470854768","0","1.0000000000000002"
"1","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","5","0.5096129625534044","0.5096129625534044","13978.777059918879","13978.777059918879","13983.25309625062","0","0","0","20.55041786372164","26.420338062606533","1901","1990","0.6471910259245667","0.2943820518491323","0","1.000000000000001"
"6","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.006","4","0.4952056357368961","0.4952056357368961","13822.530171313258","13822.530171313258","13831.895322279284","0","0","0","21.099368949289687","25.7897924864348","1867","1989","0.6571653291052251","0.31433065821045175","0","0.9999999999999984"
"10","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","4","0.5032136556527702","0.5032136556527702","13996.5536000175","13996.5536000175","14001.563171070746","0","0","0","20.56016567379049","26.32899576193399","1897","1989","0.6516213153173122","0.3032426306346258","0","0.9999999999999986"
"7","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.007","4","0.5003525711492512","0.5003525711492512","13855.297899801997","13855.297899801997","13997.519022339762","0","0","0","21.23327588822085","25.655885547503644","1861","1989","0.6536020661274404","0.30720413225488286","0","0.9999999999999981"
"9","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","4","0.49615709603254576","0.49615709603254576","13871.498620728544","13871.498620728544","13895.92705665454","0","0","0","20.464905200261807","26.424256235462693","1905","1989","0.6565066258236213","0.3130132516472445","0","0.9999999999999981"
"8","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.008","8","0.4737527611482127","0.4737527611482127","13190.59855704706","13190.59855704706","13394.929646099774","0","0","0","22.57079312642137","24.643934489585313","1775","1993","0.6720173192050847","0.344034638410167","0","1.0000000000000024"
"11","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","4","0.505698489751877","0.505698489751877","13888.604763799958","13888.604763799958","13947.986895055157","0","0","0","20.695632830755102","26.193528604969373","1892","1989","0.6499010455563926","0.2998020911127857","0","0.9999999999999994"
"3","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","4","0.5075064191560877","0.5075064191560877","13941.140750405042","13941.140750405042","14023.940353359787","0","0","0","20.695682230947206","26.19347920477728","1888","1989","0.6486494021227076","0.29729880424541677","0","0.9999999999999984"
"5","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.005","4","0.5027244261053055","0.5027244261053055","13595.607350021744","13595.607350021744","13712.570323936769","0","0","0","20.965120597435632","25.924040838288853","1856","1989","0.651960012696327","0.30392002539265384","0","1"
"4","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","4","0.4990482603512698","0.4990482603512698","14010.860988381022","14010.860988381022","14062.000463689646","0","0","0","20.83106211339709","26.0580993223274","1885","1989","0.6545050505260446","0.30901010105208804","0","1.000000000000001"
